Question,Answer
Show me a demo for Shoulder Pro,YouTube demos: https://www.youtube.com/@nervespa \u2022 Quick Start: https://drive.google.com/file/d/1QwjkbWJhezrzXTys7ha8bHr52qRlPJcF/view?usp=sharing
Troubleshoot Knee Pro,"Charge fully (first use 12+ hrs). Hold power 2s. Check lead connections (red\u2192patella), confirm Mode (green=30 min, blue=2 hrs). Ensure gel electrodes adhere; replace after ~10\u201312 uses. Increase intensity gradually; hydrate skin. Auto shut-off at ~2.5 hrs is normal. Quick Start: https://drive.google.com/file/d/17lhLon5mvNzZxvJvtuPJw-bgQ5BptylB/view?usp=sharing"
Troubleshoot Shoulder Pro,"Charge fully (first use 12+ hrs). Hold power 2s. Check leads (red\u2192top electrode). Verify Mode (green=30 min, blue=2 hrs). Ensure gel electrodes adhere; replace after ~10\u201312 uses. Adjust intensity to mild, comfortable tingle. Auto shut-off at ~2.5 hrs is normal. Quick Start: https://drive.google.com/file/d/1QwjkbWJhezrzXTys7ha8bHr52qRlPJcF/view?usp=sharing"
How do I clean and store Knee Pro?,Wipe wrap with a lightly damp cloth; do not soak. Keep ports dry. Reseal gel electrodes on protective film; replace after ~10\u201312 uses. Store cool/dry; unplug pigtails if desired. Quick Start: https://drive. google.com/file/d/17lhLon5mvNzZxvJvtuPJw-bgQ5BptylB/view?usp=sharing
How do I clean and store Shoulder Pro?,Wipe wrap with a lightly damp cloth; do not soak. Keep ports dry. Reseal gel electrodes on protective film; replace after ~10\u201312 uses. Store cool/dry; unplug pigtails if desired. Quick Start: https://drive. google.com/file/d/1QwjkbWJhezrzXTys7ha8bHr52qRlPJcF/view?usp=sharing
How long is a QuakePlate session?,Start with 10 minutes and increase up to ~20 minutes as tolerated. Monitor comfort; stop if discomfort occurs. Manual: https://drive.google.com/file/d/1BNgb7jAoSEezTWMbTTh5R7rr5xXs1b_n/view? usp=sharing
How often should QuakePlate be used?,Use 1\u20132\u00d7 daily or per clinic protocol on non-irritated skin. Do not combine with water/electrotherapy sessions. Manual: https://drive.google.com/file/d/1BNgb7jAoSEezTWMbTTh5R7rr5xXs1b_n/view? usp=sharing
How do I clean and maintain the conductive garments?,Hand-wash gloves/socks gently with mild soap; do not wring; air-dry completely before reuse. Spray inside/outside with conductive solution before each session. Store cool/dry. Manual: https://drive.google. com/file/d/18q1b0FWvLZuBscJmdrwuefhv3oEnUSlc/view?usp=sharing
How often should the LED Wrap be used?,Use once or twice daily on intact skin as tolerated; stop if irritation occurs. One session is ~20 minutes (auto-shutoff). Follow clinic protocol. Manual: https://drive.google. com/file/d/11FfLZ7E1O8iyxb4SdKSlBHp-NNsKbOmC/view?usp=sharing
How often should the Power Wrap be used?,Use once or twice daily on intact skin as tolerated; stop if irritation occurs. One session is ~20 minutes (auto-shutoff). Follow clinic protocol. Manual: https://drive.google. com/file/d/1wWDJ7dD9kanGU925nk0Kp-T7o9faupF5/view?usp=sharing
Troubleshoot QuakePlate,"Check power is connected to 110V AC, switch is ON, and connections are dry. If remote is unresponsive, replace batteries and re-pair per manual. Stop use with any adverse reaction. Manual: https://drive. google.com/file/d/1BNgb7jAoSEezTWMbTTh5R7rr5xXs1b_n/view?usp=sharing"
contact info,Providers can reach out for support in the following ways: \u2022 Chatbot \u2013 Use the \u201cContact Support\u201d option directly in the chatbot. \u2022 Email \u2013 support@nervespa.com \u2022 Phone \u2013 1-800-239-7880 (available during business hours) \u2022 Provider Portal \u2013 coming soon
phone number,Phone \u2013 1-800-239-7880 (available during business hours)
email id,Email \u2013 support@nervespa.com
Where can I read your privacy policy?,You can read our Privacy Policy here: https://nervespa.com/privacy-policy
Where can I read your terms and conditions?,Our Terms of Service can be found here: https://nervespa.com/terms-of-service
Do you have an FAQ page I can browse?,"Yes, you can find our Frequently Asked Questions here: https://nervespa.com/faq"
How will my items be shipped?,Domestic (continental US): shipped via UPS Ground or USPS depending on order and location. International: must ship UPS due to the battery in the unit. Tracking information is emailed once the order is processed by the shipping department.
When will my order arrive?,Domestic: processed in 1–2 business days; transit typically 2–5 days depending on distance from the Ohio warehouse. Canada: a freight forward picks up 1–2 times/week; tracking becomes available 7–10 days after you receive tracking info; delivery is generally 2–3 weeks. International: duties are unpaid; transit can range 5–90 days depending on location; USPS tracking may not update after leaving the US until the destination country posts an update.
How do I pay for my order?,"Payments are encrypted using SSL. NerveSpa accepts PayPal and credit cards: American Express, Discover, Mastercard, and Visa. We do not accept cash or credit vouchers."
Why did my order fail?,"Verify card number, expiration date, security code, and that billing name/address exactly match your credit card statement. Authorization requires the billing address on file with the credit card company to match the billing address provided to NerveSpa. If multiple failed orders occur, funds may be placed on hold by your bank but should not clear."
Do you charge sales tax?,Sales tax is collected on orders shipped within Ohio. International taxes are not prepaid; any taxes on international shipments must be paid by the receiver.
Is my product under warranty?,"The NerveSpa device has a one-year warranty against manufacturer defects. It does not cover damage from drops, falls, misuse, or accidents. If an identical replacement isn’t available, a comparable color/style may be provided."
How do I file a warranty claim?,"Complete the warranty submission form at https://nervespa.com/info. You may be asked to return the device for inspection at: NerveSpa, ATTN: Warranty Returns, 1760 Wadsworth Road, Akron, OH 44320. Include the defect explanation, phone number, address, and email."
"I don't want this product, can I return my order?","Yes, we offer a 30-day money-back guarantee for purchases from NerveSpa.com. Refund is the amount minus shipping costs. Items must be in original packaging and in new or lightly used condition. Credits are issued to the original payment card."
How do I return my order?,"Call or email customer service to obtain a return authorization number. Ship via a traceable method to: NerveSpa, ATTN: Returns, 1760 Wadsworth Road, Akron, OH 44320. Include your name, phone, address, email, and the RMA number."
How long to charge and how to maintain the battery?,"Charge for 16 hours on the first charge, then typically 8–10 hours thereafter. Never let the Li-ion battery go to zero, and charge periodically even if not used. Batteries typically last 4–5 years with good maintenance."
How much water to add?,Typically fill the unit about halfway with warm water so that the water is around or above your ankle when your feet are added.
Do the carbon rubber pads need replaced?,"Typically no, the carbon rubber pads do not need to be replaced."
How often should I use the NerveSpa?,"Use consistently for the first 60–90 days (1x daily, 5–6 days per week) to see targeted results. After 90 days, you can reduce to a maintenance schedule or use as needed."
What do the modes do?,"Classic models have modes A and B; Pro models have A, B, and C. A mode: micro/TENS (pain relief + therapeutic). B and C modes: micro/galvanic (therapeutic). Programs auto-run and shut off after 30 minutes. You can skip A and use B/C for greater therapeutic outcome if not treating immediate symptomatic pain."
Why is it recommended to rotate the pads from treatment to treatment?,Rotating pads alternates the entry/exit pathway of the monophasic waveform so each foot is treated equally. The program also changes to biphasic at the halfway point to offload charge buildup. Pads should be submerged in water (they do not need to touch the foot).
Which light therapy device should I purchase?,"The LED therapy wrap is recommended for broad surface coverage of the whole foot. For chronic/intense pain or a specific joint spot (knee/back), the laser is more effective."
Can I use two LED therapy wraps at the same time?,Yes. The therapy wrap is designed to use a link cable so you can treat both feet at the same time without needing another outlet.
Will my insurance cover the NerveSpa?,Some insurance plans cover TENS devices. Check with your insurance provider or healthcare professional to confirm coverage for HCPCS code E0720.
What is the HCPCS code for the NerveSpa?,The billing code (HCPCS code) is E0720
What is (1pk) Effervescent Tablets?,These effervescent tablets are designed to provide support for nerve and neuropathy issues. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/(1pk)-effervescent-tablets-19037?pa=1
What is Carbon Rubber Electrodes?,Clinical-grade carbon rubber electrodes used for TENS or similar electrotherapy devices. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/carbon-rubber-electrodes-19030?pa=1
What is Epsom Salt - 8oz jar?,"A jar of traditional Epsom salt, often used for foot soaks to help soothe discomfort. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/epsom-salt-8oz-jar-19038?pa=1"
What is LAVENDER SCENTED EPSOM SALT - 8OZ JAR?,Epsom salt infused with a relaxing lavender scent for an enhanced foot bath experience. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/lavender-scented-epsom-salt-8oz-jar-19435?pa=1
What is N1-Nerve+ Neuropathy Support?,A dedicated supplement designed to provide specialized support for nerve and neuropathy health. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/n1-nerve+-neuropathy-support-19489?pa=1
What is NERVESPA SILVER CONDUCTIVE GLOVE - HAND GARMENT SYSTEM?,A conductive glove system designed to deliver electrotherapy relief to the hands. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/nervespa-silver-conductive-glove-hand-garment-system-19476?pa=1
What is NERVESPA SILVER CONDUCTIVE SOCK - FOOT GARMENT SYSTEM?,A conductive sock system designed to deliver electrotherapy relief to the feet. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/nervespa-silver-conductive-sock-foot-garment-system-19487?pa=1
What is NERVESPA PRO - 60 DAY SUPPLY PROGRAM?,A comprehensive 60-day supply program for the NerveSpa Pro system. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/nervespa-pro-60-day-supply-program-19459?pa=1
What is NERVESPA PRO - 90 DAY SUPPLY PROGRAM?,A comprehensive 90-day supply program for the NerveSpa Pro system. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/nervespa-pro-90-day-supply-program-18936?pa=1
"What is NERVESPA PRO, HAND AND FOOT NEUROPATHY SYSTEM - 90 DAY SUPPLY PROGRAM - DUAL CHANNEL DEVICE?","A complete dual-channel system for hand and foot neuropathy treatment, including a 90-day supply. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/nervespa-pro-hand-and-foot-neuropathy-system-90-day-supply-program-dual-channel-device-19671?pa=1"
What is Nerve & Neuropathy Cream by NerveSpa - Maximum Strength Relief..?,"A maximum strength topical cream with L-Arginine, B6, and Menthol for pain relief and improved circulation in feet, hands, and legs. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/nerve-&-neuropathy-cream-by-nervespa-maximum-strength-relief-for-foot-hands-legs-toes-includes-7grams-of-larginine-vitamin-b6-menthol-aloe-scientifically-developed-to-improve-blood-circulation-and-relieve-pain-2.82oz-19194?pa=1"
"What is Nerve & Neuropathy Support Kit (Includes: Blood Flow Drink powder, Neuropathy Capsules, Nerve ODF, Nerve Cream)?",A complete kit combining supplements and cream for comprehensive nerve and neuropathy support. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/nerve-&-neuropathy-support-kit-(includes:-blood-flow-drink-powder-neuropathy-capsules-nerve-odf-nerve-cream)-19635?pa=1
What is Nerve Spa Foot bath Supply Kit?,A convenient supply kit for use with the Nerve Spa foot bath system. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/nerve-spa-foot-bath-supply-kit-18934?pa=1
What is Nerve Spa Performance diabetic Socks?,Specialized diabetic socks designed for comfort and performance (available in Small and Large). You can find it here: https://nervespa.com/products/nerve-&-neuropathy/nerve-spa-performance-diabetic-socks-18935?pa=1
What is Nerve Spa performance Supplement?,A performance-focused dietary supplement to support nerve function. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/nerve-spa-performance-supplement-18933?pa=1
"What is NerveSpa Classic, Hand and Foot Pain Relief System - 10 DAY SUPPLY PROGRAM?",A 10-day supply program for the NerveSpa Classic hand and foot pain relief system. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/nervespa-classic-hand-and-foot-pain-relief-system-10-day-supply-program-18883?pa=1
What is Replacement Charger cord for The NerveBeam cold laser?,A replacement charging cord for the NerveBeam Cold Laser device. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/replacement-charger-cord-for-the-nervebeam-cold-laser-19903?pa=1
What is Replacement Charger cord for The Quake Plate?,"The NerveSpa Quake Plate is a vibration therapy platform designed to help regain mobility and ease pain in the feet and lower extremities. It provides deep tissue massage, helps relieve pain and relax irritated nerves, and supports increased circulation and blood flow when used as directed by your clinic."
What is Replacement Charger for The NerveBeam LED Light Therapy Wrap?,A replacement charger for the NerveBeam LED Light Therapy Wrap device. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/replacement-charger-for-the-nervebeam-led-light-therapy-wrap-19887?pa=1
What is Replacement Charger for the Nerve Spa Nerve Bath System?,A replacement charger for the Nerve Spa Nerve Bath System. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/replacement-charger-for-the-nerve-spa-nerve-bath-system.-19460?pa=1
What is Replacement lead wires for Nerve Spa?,Replacement wires for connecting electrodes to the Nerve Spa devices. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/replacement-lead-wires-for-nerve-spa-19562?pa=1
What is The 90-Day Neuropathy Program?,A complete 90-day program designed to manage and support neuropathy. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/the-90-day-neuropathy-program-19044?pa=1
What is The Blood Flow Super formula Drink Powder by Nerve Spa?,A drink powder formulated to support and improve healthy blood flow. You can find it here: https://nervespa.com/products/nerve-&-neuropathy/the-blood-flow-super-formula-drink-powder-by-nerve-spa-19483?pa=1
What is The NerveBeam Cold Laser?,A cold laser device intended for therapeutic use in relieving pain (available in White). You can find it here: https://nervespa.com/products/nerve-&-neuropathy/the-nervebeam-cold-laser-18986?pa=1
What is The NerveBeam LED Light Therapy Wrap - Red & Infrared light therapy?,An LED light therapy wrap utilizing red and infrared light for therapeutic relief (available in single and pair options). You can find it here: https://nervespa.com/products/nerve-&-neuropathy/the-nervebeam-led-light-therapy-wrap-red-&-infrared-light-therapy-18990?pa=1
What is The Quake Plate Vibrational Massage Therapy?,"The NerveSpa Quake Plate is a vibration therapy platform designed to help regain mobility and ease pain in the feet and lower extremities. It provides deep tissue massage, helps relieve pain and relax irritated nerves, and supports increased circulation and blood flow when used as directed by your clinic."
"What is Joint Heath Support Kit (Includes: Joint Drink Powder, OA Cream)?",A kit that combines a joint drink powder and an Osteoarthritis (OA) cream for comprehensive joint support. You can find it here: https://nervespa.com/products/joint-&-mobility/joint-heath-support-kit-(includes:-joint-drink-powder-oa-cream)-19636?pa=1
What is Nerve Spa Knee Pro - Advanced OA/RA treatment Device - Size: Fits Small to Large?,An advanced device for the treatment of Osteoarthritis (OA) and Rheumatoid Arthritis (RA) in the knee (also available in a 90-day supply kit). You can find it here: https://nervespa.com/products/joint-&-mobility/nerve-spa-knee-pro-advanced-oara-treatment-device-size:-fits-small-to-large-19728?pa=1
What is Nerve Spa Knee Pro - Replacement Pads - 3 x VB35 and 3 x VBKnee?,Replacement electrode pads for the Nerve Spa Knee Pro device. You can find it here: https://nervespa.com/products/joint-&-mobility/nerve-spa-knee-pro-replacement-pads-3-x-vb35-and-3-x-vbknee-19647?pa=1
What is Nerve Spa Shoulder Pro?,A device designed for therapeutic support and treatment for the shoulder joint. You can find it here: https://nervespa.com/products/joint-&-mobility/nerve-spa-shoulder-pro-19760?pa=1
What is NerveSpa Knee Pro - 180 day supply kit?,A comprehensive 180-day supply kit for the NerveSpa Knee Pro system. You can find it here: https://nervespa.com/products/joint-&-mobility/nervespa-knee-pro-180-day-supply-kit-19729?pa=1
What is NerveSpa Knee Pro Size Extender Straps (1 pair) _ XL-XXL?,Extender straps to help fit the NerveSpa Knee Pro device on larger sizes. You can find it here: https://nervespa.com/products/joint-&-mobility/nervespa-knee-pro-size-extender-straps-(1-pair)-_-xl-xxl-19731?pa=1
What is Osteoarthritis and Rheumatoid Arthritis Cream?,A topical cream formulated to help relieve discomfort associated with Osteoarthritis and Rheumatoid Arthritis. You can find it here: https://nervespa.com/products/joint-&-mobility/osteoarthritis-and-rheumatoid-arthritis-cream-19378?pa=1
"What is Roll On Pain Relief by Nerve Target - Roll On Muscle Pain Reliever, Back Pain, Arthritis..?","A roll-on topical muscle and joint pain reliever containing Arnica, Menthol, and Camphor. You can find it here: https://nervespa.com/products/joint-&-mobility/roll-on-pain-relief-by-nerve-target-roll-on-muscle-pain-reliever-back-pain-arthritis-with-arnica-menthol-&-camphor-19908?pa=1"
What is Super Flex Joint Formula Drink Powder by NerveSpa - Joint Support Supplement..?,"A powdered drink supplement containing Glucosamine, Chondroitin, and Turmeric to support and restore joint health. You can find it here: https://nervespa.com/products/joint-&-mobility/super-flex-joint-formula-drink-powder-by-nervespa-joint-support-supplement-help-repairrestore-with-glucosamine-chondroitin-turmeric-ginger-msm-boswellia-30-servings-19503?pa=1"
"What is ImmunoGut Super Formula: Essential Immunity & Gut Support | Vitamin D, Zinc, Beta Glucan | Detox & Stress Relief | 480g Powder, 60 Servings?","A powdered super formula designed for comprehensive immune and gut health, containing Vitamin D, Zinc, and Beta Glucan. You can find it here: https://nervespa.com/products/metabolic-gut-&-immunity/immunogut-super-formula:-essential-immunity-&-gut-support-vitamin-d-zinc-beta-glucan-detox-&-stress-relief-480g-powder-60-servings.-19711?pa=1"
What is N1 - Gut Support with probiotics?,"A supplement formulated for gut health and digestive support, fortified with probiotics. You can find it here: https://nervespa.com/products/metabolic-gut-&-immunity/n1-gut-support-with-probiotics-19490?pa=1"
What is N1 - Skinny Blend?,A blend supplement intended to support weight control and metabolic health. You can find it here: https://nervespa.com/products/metabolic-gut-&-immunity/n1-skinny-blend-19488?pa=1
What is Nerve Spa Vibe | Deep Tissue Vibrational Massager with Attachement Heads..?,"A powerful, cordless deep tissue vibrational massager with interchangeable heads for relief from sciatica, neuropathy, and muscle pain. You can find it here: https://nervespa.com/products/clinical-devices/nerve-spa-vibe-deep-tissue-vibrational-massager-with-attachement-heads-7500-rpm-vibration-therapy-for-deep-tissue-sciatica-neuropathy, joint-&-muscle-relief-cordless-compact-&-powerful.-19915?pa=1"
What is Nerve Wave 2.5 Rd Clinical Grade Electrode?,"Clinical-grade, 2.5-inch round electrodes for use with electrotherapy devices. You can find it here: https://nervespa.com/products/clinical-devices/nerve-wave-2.5-rd-clinical-grade-electrode-19901?pa=1"
What is Nerve Wave by Nerve Spa - Clinical Nerve Spa Multi-Modality Treatment Device?,"A clinical, multi-modality treatment device for comprehensive nerve spa therapy. You can find it here: https://nervespa.com/products/clinical-devices/nerve-wave-by-nerve-spa-clinical-nerve-spa-multi-modality-treatment-device-19868?pa=1"
What is The Power Wrap - Ultra-High Powered LED COLD LASER..?,An ultra-high-powered LED cold laser wrap using infrared and red light for intense relief therapy. You can find it here: https://nervespa.com/products/clinical-devices/the-power-wrap-ultra-high-powered-led-cold-laser-infrared-and-red-light-relief-12-000mw-650nm-red-light-808nm-infrared-diodes-78-lasers-+-192-leds-19721?pa=1
